# 概念索引の受け渡し（生成物・手で直さない）
# 列: concept_id<TAB>見出し<TAB>初出アンカー<TAB>用語集の初出記述
# 典拠は 80_メタ文書/MANES_本書用語集_v0.md（集合・初出とも。仕様 §6-3）。
# concept_id の空欄は「台帳に未採番」であって欠落ではない（論点②・未裁定）。
# 頁は入っていない。組版側が target-counter で解く（仕様 §6-3 の分担）。
# 並びは五十音（読み鍵・2026-08-13 裁定）。組版はこの行順のまま組む。
tragic-sense-of-compressing-being	圧縮する存在の悲劇的感情	ch27-s3	第27章 §27-3
compression-and-selection-structure	圧縮と選別構造	ch2-s4	第2章 §2-4
two-modes-of-compression	圧縮の二様式（索引型／LOT direct 型）	ch14-s3	第14章 §14-3
thick-time	厚い時間	ch27-s1	第27章 §27-1
r-space-t-space	R空間／T空間（と射影・有限参照構造）	ch1	第1章
es-existential-significance	ES（共存条件）	ch6-s4	第6章 §6-4
nested-structure	入れ子構造	ch2-s6	第2章 §2-6
causal-chain	因果の連なり	ch19-s1	第19章 §19-1
cosmological-neutrality	宇宙論的中立性	introduction-s4	序論 §4
heterostable-zone	HZ（創発可能帯域）	ch2-s2	第2章 §2-2
sfok	SFOK（社会的既知感）	ch10-s2	第10章 §10-2
sfok-reference-system	SFOK参照系	ch18-s2	第18章 §18-2
foe-model	FOEモデル（スナップショット図・8セル）	ch16-s1	第16章 §16-1
three-axes-of-f	F 三軸	ch18-s1	第18章 §18-1
f-texture-and-response	F の質感／手応え	ch18-s2	第18章 §18-2
drift	乖離	ch16-s5	第16章 §16-5
expansive-contractive-satisfaction	拡張充足／縮退充足	ch16-s6	第16章 §16-6
shell	殻	ch17-s3	第17章 §17-3
closure-of-account	勘定の閉じ	ch3-s3	第3章 §3-3
learning	学習（委ねの階段）	ch15-s4	第15章 §15-4
head-count-of-the-we	基底	ch24-s4	第24章 §24-4
startup-conditions	起動条件	ch23-s1	第23章 §23-1
dogma	教条	ch22-s4	第22章 §22-4
nihility	虚無	ch22-s4	第22章 §22-4
pseudo-f	疑似F	ch20-s3	第20章 §20-3
chain-of-inheritance	継承の連鎖	conclusion-s5	結論 §5
mooring	係留	ch16-s4	第16章 §16-4
moored-foe	係留FOE	ch19-s3	第19章 §19-3
mooring-friction	係留摩擦	ch16-s4	第16章 §16-4
operative-domain	作動圏	ch17-s3	第17章 §17-3
three-axes-of-instability	三軸（空間・時間・実存の不安定）	ch20	第20章
